"","x"
"1099","CD14+ Monocytes"
"1100","CD4 T cells"
"1101","FCGR3A+ Monocytes"
"1102","CD4 T cells"
"1103","CD8 T cells"
"1104","CD8 T cells"
"1105","CD4 T cells"
"1106","CD14+ Monocytes"
"1107","CD8 T cells"
"1108","CD14+ Monocytes"
"1109","CD4 T cells"
"1110","CD8 T cells"
"1111","NK cells"
"1112","CD14+ Monocytes"
"1113","CD8 T cells"
"1114","CD4 T cells"
"1115","CD8 T cells"
"1116","Dendritic cells"
"1117","NK cells"
"1118","CD8 T cells"
"1119","CD8 T cells"
"1120","CD4 T cells"
"1121","B cells"
"1122","CD4 T cells"
"1123","CD8 T cells"
"1124","CD14+ Monocytes"
"1125","CD4 T cells"
"1126","CD8 T cells"
"1127","CD8 T cells"
"1128","CD14+ Monocytes"
"1129","Megakaryocytes"
"1130","CD4 T cells"
"1131","CD14+ Monocytes"
"1132","CD8 T cells"
"1133","FCGR3A+ Monocytes"
"1134","CD8 T cells"
"1135","CD14+ Monocytes"
"1136","Megakaryocytes"
"1137","CD8 T cells"
"1138","NK cells"
"1139","CD8 T cells"
"1140","CD8 T cells"
"1141","CD14+ Monocytes"
"1142","CD8 T cells"
"1143","CD8 T cells"
"1144","CD14+ Monocytes"
"1145","CD8 T cells"
"1146","CD4 T cells"
"1147","NK cells"
"1148","CD8 T cells"
"1149","CD8 T cells"
"1150","CD4 T cells"
"1151","CD4 T cells"
"1152","CD4 T cells"
"1153","B cells"
"1154","CD4 T cells"
"1155","FCGR3A+ Monocytes"
"1156","CD4 T cells"
"1157","B cells"
"1158","B cells"
"1159","B cells"
"1160","CD4 T cells"
"1161","CD14+ Monocytes"
"1162","B cells"
"1163","FCGR3A+ Monocytes"
"1164","Megakaryocytes"
"1165","CD14+ Monocytes"
"1166","CD4 T cells"
"1167","CD4 T cells"
"1168","CD14+ Monocytes"
"1169","FCGR3A+ Monocytes"
"1170","CD14+ Monocytes"
"1171","CD14+ Monocytes"
"1172","CD14+ Monocytes"
"1173","FCGR3A+ Monocytes"
"1174","CD8 T cells"
"1175","B cells"
"1176","FCGR3A+ Monocytes"
"1177","B cells"
"1178","CD8 T cells"
"1179","CD4 T cells"
"1180","CD14+ Monocytes"
"1181","NK cells"
"1182","CD14+ Monocytes"
"1183","CD8 T cells"
"1184","CD8 T cells"
"1185","CD14+ Monocytes"
"1186","CD14+ Monocytes"
"1187","CD14+ Monocytes"
"1188","CD14+ Monocytes"
"1189","CD8 T cells"
"1190","CD8 T cells"
"1191","B cells"
"1192","CD4 T cells"
"1193","CD14+ Monocytes"
"1194","CD8 T cells"
"1195","NK cells"
"1196","CD14+ Monocytes"
"1197","NK cells"
"1198","CD4 T cells"
"1199","NK cells"
"1200","CD8 T cells"
"1201","CD14+ Monocytes"
"1202","CD4 T cells"
"1203","CD4 T cells"
"1204","CD4 T cells"
"1205","CD8 T cells"
"1206","CD14+ Monocytes"
"1207","CD8 T cells"
"1208","CD14+ Monocytes"
"1209","CD8 T cells"
"1210","CD8 T cells"
"1211","CD4 T cells"
"1212","B cells"
"1213","CD14+ Monocytes"
"1214","B cells"
"1215","CD8 T cells"
"1216","CD14+ Monocytes"
"1217","CD4 T cells"
"1218","CD8 T cells"
"1219","CD8 T cells"
"1220","CD14+ Monocytes"
"1221","CD8 T cells"
"1222","CD8 T cells"
"1223","CD8 T cells"
"1224","CD4 T cells"
"1225","CD4 T cells"
"1226","CD4 T cells"
"1227","CD8 T cells"
"1228","CD8 T cells"
"1229","Dendritic cells"
"1230","CD14+ Monocytes"
"1231","CD4 T cells"
"1232","B cells"
"1233","CD8 T cells"
"1234","CD8 T cells"
"1235","NK cells"
"1236","B cells"
"1237","CD4 T cells"
"1238","CD8 T cells"
"1239","CD8 T cells"
"1240","CD8 T cells"
"1241","CD4 T cells"
"1242","FCGR3A+ Monocytes"
"1243","CD14+ Monocytes"
"1244","CD8 T cells"
"1245","CD4 T cells"
"1246","CD14+ Monocytes"
"1247","CD8 T cells"
"1248","CD14+ Monocytes"
"1249","FCGR3A+ Monocytes"
"1250","CD8 T cells"
"1251","Dendritic cells"
"1252","B cells"
"1253","FCGR3A+ Monocytes"
"1254","CD4 T cells"
"1255","CD14+ Monocytes"
"1256","CD8 T cells"
"1257","CD8 T cells"
"1258","CD8 T cells"
"1259","NK cells"
"1260","CD8 T cells"
"1261","NK cells"
"1262","CD14+ Monocytes"
"1263","CD14+ Monocytes"
"1264","CD8 T cells"
"1265","CD8 T cells"
"1266","CD14+ Monocytes"
"1267","CD8 T cells"
"1268","CD4 T cells"
"1269","CD8 T cells"
"1270","CD4 T cells"
"1271","CD8 T cells"
"1272","FCGR3A+ Monocytes"
"1273","CD4 T cells"
"1274","CD8 T cells"
"1275","CD8 T cells"
"1276","B cells"
"1277","B cells"
"1278","B cells"
"1279","FCGR3A+ Monocytes"
"1280","CD14+ Monocytes"
"1281","B cells"
"1282","NK cells"
"1283","NK cells"
"1284","CD8 T cells"
"1285","CD4 T cells"
"1286","CD4 T cells"
"1287","CD8 T cells"
"1288","CD14+ Monocytes"
"1289","CD8 T cells"
"1290","CD4 T cells"
"1291","CD4 T cells"
"1292","CD4 T cells"
"1293","CD4 T cells"
"1294","FCGR3A+ Monocytes"
"1295","CD4 T cells"
"1296","B cells"
"1297","CD4 T cells"
"1298","CD4 T cells"
"1299","CD14+ Monocytes"
"1300","CD4 T cells"
"1301","CD4 T cells"
"1302","CD4 T cells"
"1303","CD4 T cells"
"1304","CD4 T cells"
"1305","CD8 T cells"
"1306","CD4 T cells"
"1307","CD4 T cells"
"1308","CD8 T cells"
"1309","CD14+ Monocytes"
"1310","CD4 T cells"
"1311","NK cells"
"1312","CD4 T cells"
"1313","CD8 T cells"
"1314","CD14+ Monocytes"
"1315","CD4 T cells"
"1316","CD4 T cells"
"1317","CD14+ Monocytes"
"1318","CD4 T cells"
"1319","NK cells"
"1320","FCGR3A+ Monocytes"
"1321","CD4 T cells"
"1322","CD14+ Monocytes"
"1323","CD8 T cells"
"1324","FCGR3A+ Monocytes"
"1325","CD8 T cells"
"1326","CD8 T cells"
"1327","CD14+ Monocytes"
"1328","CD8 T cells"
"1329","CD8 T cells"
"1330","CD4 T cells"
"1331","CD4 T cells"
"1332","CD4 T cells"
"1333","CD8 T cells"
"1334","CD8 T cells"
"1335","CD4 T cells"
"1336","CD4 T cells"
"1337","CD4 T cells"
"1338","CD4 T cells"
"1339","CD14+ Monocytes"
"1340","CD14+ Monocytes"
"1341","B cells"
"1342","CD8 T cells"
"1343","CD4 T cells"
"1344","CD8 T cells"
"1345","FCGR3A+ Monocytes"
"1346","NK cells"
"1347","CD4 T cells"
"1348","CD8 T cells"
"1349","Dendritic cells"
"1350","NK cells"
"1351","CD8 T cells"
"1352","Dendritic cells"
"1353","CD8 T cells"
"1354","CD4 T cells"
"1355","CD4 T cells"
"1356","CD14+ Monocytes"
"1357","CD8 T cells"
"1358","CD8 T cells"
"1359","CD8 T cells"
"1360","FCGR3A+ Monocytes"
"1361","FCGR3A+ Monocytes"
"1362","CD14+ Monocytes"
"1363","CD8 T cells"
"1364","CD14+ Monocytes"
"1365","Megakaryocytes"
"1366","FCGR3A+ Monocytes"
"1367","CD8 T cells"
"1368","Megakaryocytes"
"1369","NK cells"
"1370","CD14+ Monocytes"
"1371","CD4 T cells"
"1372","CD14+ Monocytes"
"1373","CD8 T cells"
"1374","NK cells"
"1375","FCGR3A+ Monocytes"
"1376","CD4 T cells"
"1377","NK cells"
"1378","CD14+ Monocytes"
"1379","CD8 T cells"
"1380","FCGR3A+ Monocytes"
"1381","CD14+ Monocytes"
"1382","CD4 T cells"
"1383","CD8 T cells"
"1384","FCGR3A+ Monocytes"
"1385","CD8 T cells"
"1386","CD8 T cells"
"1387","CD4 T cells"
"1388","B cells"
"1389","B cells"
"1390","CD8 T cells"
"1391","CD14+ Monocytes"
"1392","CD14+ Monocytes"
"1393","CD8 T cells"
"1394","Megakaryocytes"
"1395","CD14+ Monocytes"
"1396","CD4 T cells"
"1397","CD14+ Monocytes"
"1398","B cells"
"1399","CD8 T cells"
"1400","NK cells"
"1401","CD8 T cells"
"1402","FCGR3A+ Monocytes"
"1403","FCGR3A+ Monocytes"
"1404","CD4 T cells"
"1405","FCGR3A+ Monocytes"
"1406","CD14+ Monocytes"
"1407","CD14+ Monocytes"
"1408","CD4 T cells"
"1409","CD4 T cells"
"1410","CD14+ Monocytes"
"1411","CD4 T cells"
"1412","B cells"
"1413","CD4 T cells"
"1414","CD4 T cells"
"1415","B cells"
"1416","CD8 T cells"
"1417","CD4 T cells"
"1418","CD8 T cells"
"1419","CD4 T cells"
"1420","FCGR3A+ Monocytes"
"1421","B cells"
"1422","NK cells"
"1423","B cells"
"1424","CD14+ Monocytes"
"1425","FCGR3A+ Monocytes"
"1426","CD8 T cells"
"1427","CD8 T cells"
"1428","CD8 T cells"
"1429","CD14+ Monocytes"
"1430","NK cells"
"1431","CD8 T cells"
"1432","CD14+ Monocytes"
"1433","NK cells"
"1434","CD4 T cells"
"1435","FCGR3A+ Monocytes"
"1436","Dendritic cells"
"1437","CD8 T cells"
"1438","FCGR3A+ Monocytes"
"1439","CD4 T cells"
"1440","CD4 T cells"
"1441","CD14+ Monocytes"
"1442","B cells"
"1443","CD8 T cells"
"1444","CD8 T cells"
"1445","NK cells"
"1446","CD8 T cells"
"1447","CD8 T cells"
"1448","CD4 T cells"
"1449","CD8 T cells"
"1450","CD8 T cells"
"1451","CD8 T cells"
"1452","CD4 T cells"
"1453","B cells"
"1454","FCGR3A+ Monocytes"
"1455","CD8 T cells"
"1456","CD8 T cells"
"1457","B cells"
"1458","FCGR3A+ Monocytes"
"1459","B cells"
"1460","CD8 T cells"
"1461","B cells"
"1462","CD4 T cells"
"1463","CD8 T cells"
"1464","CD8 T cells"
"1465","CD4 T cells"
"1466","CD4 T cells"
"1467","NK cells"
"1468","B cells"
"1469","CD4 T cells"
"1470","CD14+ Monocytes"
"1471","B cells"
"1472","CD8 T cells"
"1473","CD8 T cells"
"1474","CD8 T cells"
"1475","CD8 T cells"
"1476","CD14+ Monocytes"
"1477","B cells"
"1478","CD4 T cells"
"1479","CD14+ Monocytes"
"1480","CD8 T cells"
"1481","NK cells"
"1482","CD14+ Monocytes"
"1483","CD4 T cells"
"1484","CD14+ Monocytes"
"1485","CD8 T cells"
"1486","CD14+ Monocytes"
"1487","CD8 T cells"
"1488","CD14+ Monocytes"
"1489","CD4 T cells"
"1490","FCGR3A+ Monocytes"
"1491","CD8 T cells"
"1492","B cells"
"1493","CD4 T cells"
"1494","CD8 T cells"
"1495","CD4 T cells"
"1496","FCGR3A+ Monocytes"
"1497","CD8 T cells"
"1498","CD4 T cells"
"1499","CD4 T cells"
"1500","CD8 T cells"
"1501","CD14+ Monocytes"
"1502","CD8 T cells"
"1503","CD4 T cells"
"1504","CD14+ Monocytes"
"1505","CD8 T cells"
"1506","CD14+ Monocytes"
"1507","CD4 T cells"
"1508","CD4 T cells"
"1509","CD4 T cells"
"1510","NK cells"
"1511","CD14+ Monocytes"
"1512","CD8 T cells"
"1513","CD8 T cells"
"1514","CD8 T cells"
"1515","CD8 T cells"
"1516","CD4 T cells"
"1517","CD14+ Monocytes"
"1518","Megakaryocytes"
"1519","CD8 T cells"
"1520","CD4 T cells"
"1521","CD8 T cells"
"1522","CD4 T cells"
"1523","CD8 T cells"
"1524","CD8 T cells"
"1525","CD14+ Monocytes"
"1526","CD8 T cells"
"1527","CD8 T cells"
"1528","NK cells"
"1529","NK cells"
"1530","CD8 T cells"
"1531","CD14+ Monocytes"
"1532","CD8 T cells"
"1533","CD8 T cells"
"1534","CD8 T cells"
"1535","NK cells"
"1536","CD4 T cells"
"1537","CD14+ Monocytes"
"1538","CD14+ Monocytes"
"1539","CD14+ Monocytes"
"1540","NK cells"
"1541","CD8 T cells"
"1542","CD14+ Monocytes"
"1543","CD8 T cells"
"1544","B cells"
"1545","NK cells"
"1546","CD14+ Monocytes"
"1547","CD14+ Monocytes"
"1548","CD8 T cells"
"1549","FCGR3A+ Monocytes"
"1550","CD8 T cells"
"1551","CD4 T cells"
"1552","CD8 T cells"
"1553","CD14+ Monocytes"
"1554","CD4 T cells"
"1555","NK cells"
"1556","CD4 T cells"
"1557","CD8 T cells"
"1558","CD4 T cells"
"1559","FCGR3A+ Monocytes"
"1560","FCGR3A+ Monocytes"
"1561","CD14+ Monocytes"
"1562","CD4 T cells"
"1563","B cells"
"1564","CD8 T cells"
"1565","CD14+ Monocytes"
"1566","NK cells"
"1567","NK cells"
"1568","NK cells"
"1569","CD4 T cells"
"1570","CD4 T cells"
"1571","CD8 T cells"
"1572","CD8 T cells"
"1573","CD4 T cells"
"1574","CD14+ Monocytes"
"1575","CD8 T cells"
"1576","CD4 T cells"
"1577","CD14+ Monocytes"
"1578","B cells"
"1579","CD8 T cells"
"1580","B cells"
"1581","CD8 T cells"
"1582","CD8 T cells"
"1583","CD8 T cells"
"1584","CD8 T cells"
"1585","CD8 T cells"
"1586","CD4 T cells"
"1587","NK cells"
"1588","CD14+ Monocytes"
"1589","CD4 T cells"
"1590","CD4 T cells"
"1591","NK cells"
"1592","B cells"
"1593","FCGR3A+ Monocytes"
"1594","CD14+ Monocytes"
"1595","CD4 T cells"
"1596","CD8 T cells"
"1597","CD14+ Monocytes"
"1598","CD8 T cells"
"1599","FCGR3A+ Monocytes"
"1600","NK cells"
"1601","CD14+ Monocytes"
"1602","CD8 T cells"
"1603","CD4 T cells"
"1604","CD4 T cells"
"1605","CD8 T cells"
"1606","Dendritic cells"
"1607","Dendritic cells"
"1608","CD8 T cells"
"1609","CD4 T cells"
"1610","CD8 T cells"
"1611","CD8 T cells"
"1612","CD14+ Monocytes"
"1613","CD8 T cells"
"1614","CD4 T cells"
"1615","CD8 T cells"
"1616","CD8 T cells"
"1617","B cells"
"1618","CD8 T cells"
"1619","CD8 T cells"
"1620","CD4 T cells"
"1621","CD14+ Monocytes"
"1622","CD4 T cells"
"1623","CD8 T cells"
"1624","B cells"
"1625","CD8 T cells"
"1626","NK cells"
"1627","CD14+ Monocytes"
"1628","CD14+ Monocytes"
"1629","CD4 T cells"
"1630","CD14+ Monocytes"
"1631","CD14+ Monocytes"
"1632","CD14+ Monocytes"
"1633","CD4 T cells"
"1634","CD4 T cells"
"1635","CD4 T cells"
"1636","B cells"
"1637","CD4 T cells"
"1638","CD8 T cells"
"1639","CD14+ Monocytes"
"1640","CD8 T cells"
"1641","CD4 T cells"
"1642","CD8 T cells"
"1643","CD4 T cells"
"1644","CD8 T cells"
"1645","CD4 T cells"
"1646","CD4 T cells"
"1647","CD14+ Monocytes"
"1648","CD8 T cells"
"1649","CD14+ Monocytes"
"1650","NK cells"
"1651","CD4 T cells"
"1652","CD8 T cells"
"1653","CD4 T cells"
"1654","B cells"
"1655","CD8 T cells"
"1656","CD4 T cells"
"1657","CD8 T cells"
"1658","CD4 T cells"
"1659","CD4 T cells"
"1660","CD4 T cells"
"1661","CD14+ Monocytes"
"1662","CD14+ Monocytes"
"1663","CD14+ Monocytes"
"1664","FCGR3A+ Monocytes"
"1665","FCGR3A+ Monocytes"
"1666","CD14+ Monocytes"
"1667","NK cells"
"1668","CD8 T cells"
"1669","CD4 T cells"
"1670","B cells"
"1671","FCGR3A+ Monocytes"
"1672","CD14+ Monocytes"
"1673","CD4 T cells"
"1674","CD4 T cells"
"1675","NK cells"
"1676","B cells"
"1677","CD14+ Monocytes"
"1678","CD4 T cells"
"1679","B cells"
"1680","CD8 T cells"
"1681","CD14+ Monocytes"
"1682","CD8 T cells"
"1683","CD14+ Monocytes"
"1684","CD4 T cells"
"1685","FCGR3A+ Monocytes"
"1686","CD8 T cells"
"1687","B cells"
"1688","CD14+ Monocytes"
"1689","B cells"
"1690","CD8 T cells"
"1691","CD8 T cells"
"1692","B cells"
"1693","CD14+ Monocytes"
"1694","CD8 T cells"
"1695","CD8 T cells"
"1696","CD8 T cells"
"1697","B cells"
"1698","NK cells"
"1699","CD8 T cells"
"1700","CD8 T cells"
"1701","CD14+ Monocytes"
"1702","B cells"
"1703","CD4 T cells"
"1704","CD14+ Monocytes"
"1705","CD4 T cells"
"1706","B cells"
"1707","B cells"
"1708","CD4 T cells"
"1709","CD4 T cells"
"1710","CD8 T cells"
"1711","CD4 T cells"
"1712","NK cells"
"1713","CD14+ Monocytes"
"1714","CD14+ Monocytes"
"1715","NK cells"
"1716","CD14+ Monocytes"
"1717","CD8 T cells"
"1718","B cells"
"1719","CD8 T cells"
"1720","CD14+ Monocytes"
"1721","CD14+ Monocytes"
"1722","Dendritic cells"
"1723","CD4 T cells"
"1724","CD14+ Monocytes"
"1725","CD8 T cells"
"1726","CD14+ Monocytes"
"1727","CD4 T cells"
"1728","CD14+ Monocytes"
"1729","FCGR3A+ Monocytes"
"1730","NK cells"
"1731","CD14+ Monocytes"
"1732","CD14+ Monocytes"
"1733","NK cells"
"1734","CD8 T cells"
"1735","NK cells"
"1736","CD4 T cells"
"1737","FCGR3A+ Monocytes"
"1738","Megakaryocytes"
"1739","CD4 T cells"
"1740","CD4 T cells"
"1741","CD8 T cells"
"1742","FCGR3A+ Monocytes"
"1743","CD8 T cells"
"1744","CD14+ Monocytes"
"1745","CD8 T cells"
"1746","CD4 T cells"
"1747","CD14+ Monocytes"
"1748","CD4 T cells"
"1749","CD8 T cells"
"1750","CD4 T cells"
"1751","CD14+ Monocytes"
"1752","CD4 T cells"
"1753","CD14+ Monocytes"
"1754","CD4 T cells"
"1755","CD4 T cells"
"1756","Dendritic cells"
"1757","FCGR3A+ Monocytes"
"1758","CD8 T cells"
"1759","B cells"
"1760","FCGR3A+ Monocytes"
"1761","CD8 T cells"
"1762","CD8 T cells"
"1763","Dendritic cells"
"1764","CD8 T cells"
"1765","FCGR3A+ Monocytes"
"1766","CD8 T cells"
"1767","CD8 T cells"
"1768","CD8 T cells"
"1769","CD8 T cells"
"1770","CD8 T cells"
"1771","CD14+ Monocytes"
"1772","CD8 T cells"
"1773","CD4 T cells"
"1774","CD8 T cells"
"1775","CD8 T cells"
"1776","NK cells"
"1777","CD14+ Monocytes"
"1778","CD4 T cells"
"1779","CD8 T cells"
"1780","CD4 T cells"
"1781","CD8 T cells"
"1782","CD8 T cells"
"1783","CD14+ Monocytes"
"1784","FCGR3A+ Monocytes"
"1785","CD8 T cells"
"1786","CD8 T cells"
"1787","CD8 T cells"
"1788","CD4 T cells"
"1789","FCGR3A+ Monocytes"
"1790","CD8 T cells"
"1791","CD4 T cells"
"1792","CD8 T cells"
"1793","CD14+ Monocytes"
"1794","CD8 T cells"
"1795","CD14+ Monocytes"
"1796","CD8 T cells"
"1797","CD14+ Monocytes"
"1798","CD4 T cells"
"1799","CD4 T cells"
"1800","CD4 T cells"
"1801","CD8 T cells"
"1802","CD4 T cells"
"1803","CD4 T cells"
"1804","CD8 T cells"
"1805","CD8 T cells"
"1806","CD4 T cells"
"1807","CD14+ Monocytes"
"1808","CD4 T cells"
"1809","CD4 T cells"
"1810","CD8 T cells"
"1811","CD14+ Monocytes"
"1812","CD4 T cells"
"1813","CD8 T cells"
"1814","CD4 T cells"
"1815","CD14+ Monocytes"
"1816","CD4 T cells"
"1817","CD4 T cells"
"1818","CD4 T cells"
"1819","CD14+ Monocytes"
"1820","CD14+ Monocytes"
"1821","NK cells"
"1822","NK cells"
"1823","B cells"
"1824","FCGR3A+ Monocytes"
"1825","B cells"
"1826","CD14+ Monocytes"
"1827","CD8 T cells"
"1828","NK cells"
"1829","CD8 T cells"
"1830","CD8 T cells"
"1831","CD4 T cells"
"1832","CD8 T cells"
"1833","CD4 T cells"
"1834","CD4 T cells"
"1835","B cells"
"1836","CD14+ Monocytes"
"1837","CD8 T cells"
"1838","CD14+ Monocytes"
"1839","CD8 T cells"
"1840","CD4 T cells"
"1841","CD8 T cells"
"1842","CD4 T cells"
"1843","CD14+ Monocytes"
"1844","CD4 T cells"
"1845","CD14+ Monocytes"
"1846","CD4 T cells"
"1847","CD14+ Monocytes"
"1848","CD14+ Monocytes"
"1849","CD8 T cells"
"1850","CD8 T cells"
"1851","CD8 T cells"
"1852","CD8 T cells"
"1853","CD4 T cells"
"1854","CD14+ Monocytes"
"1855","B cells"
"1856","CD14+ Monocytes"
"1857","CD14+ Monocytes"
"1858","B cells"
"1859","B cells"
"1860","NK cells"
"1861","CD4 T cells"
"1862","CD8 T cells"
"1863","CD4 T cells"
"1864","B cells"
"1865","Megakaryocytes"
"1866","NK cells"
"1867","CD4 T cells"
"1868","CD8 T cells"
"1869","CD8 T cells"
"1870","CD8 T cells"
"1871","CD14+ Monocytes"
"1872","CD4 T cells"
"1873","CD14+ Monocytes"
"1874","CD8 T cells"
"1875","B cells"
"1876","CD8 T cells"
"1877","CD4 T cells"
"1878","CD4 T cells"
"1879","CD14+ Monocytes"
"1880","CD14+ Monocytes"
"1881","CD4 T cells"
"1882","CD14+ Monocytes"
"1883","CD4 T cells"
"1884","B cells"
"1885","CD14+ Monocytes"
"1886","CD14+ Monocytes"
"1887","CD14+ Monocytes"
"1888","CD4 T cells"
"1889","CD8 T cells"
"1890","CD14+ Monocytes"
"1891","B cells"
"1892","CD4 T cells"
"1893","CD8 T cells"
"1894","FCGR3A+ Monocytes"
"1895","B cells"
"1896","CD8 T cells"
"1897","CD4 T cells"
"1898","FCGR3A+ Monocytes"
"1899","CD8 T cells"
"1900","NK cells"
"1901","NK cells"
"1902","CD14+ Monocytes"
"1903","CD8 T cells"
"1904","NK cells"
"1905","CD4 T cells"
"1906","CD14+ Monocytes"
"1907","CD8 T cells"
"1908","CD8 T cells"
"1909","CD8 T cells"
"1910","CD4 T cells"
"1911","CD14+ Monocytes"
"1912","NK cells"
"1913","CD8 T cells"
"1914","CD14+ Monocytes"
"1915","CD4 T cells"
"1916","CD14+ Monocytes"
"1917","CD14+ Monocytes"
"1918","B cells"
"1919","CD4 T cells"
"1920","CD14+ Monocytes"
"1921","CD8 T cells"
"1922","CD8 T cells"
"1923","CD8 T cells"
"1924","CD4 T cells"
"1925","CD14+ Monocytes"
"1926","CD14+ Monocytes"
"1927","CD4 T cells"
"1928","CD14+ Monocytes"
"1929","B cells"
"1930","CD4 T cells"
"1931","CD4 T cells"
"1932","FCGR3A+ Monocytes"
"1933","CD4 T cells"
"1934","CD14+ Monocytes"
"1935","CD4 T cells"
"1936","CD8 T cells"
"1937","CD8 T cells"
"1938","CD4 T cells"
"1939","CD14+ Monocytes"
"1940","NK cells"
"1941","Dendritic cells"
"1942","CD14+ Monocytes"
"1943","CD4 T cells"
"1944","Dendritic cells"
"1945","CD8 T cells"
"1946","CD4 T cells"
"1947","CD8 T cells"
"1948","CD4 T cells"
"1949","CD4 T cells"
"1950","CD8 T cells"
"1951","CD14+ Monocytes"
"1952","Dendritic cells"
"1953","CD14+ Monocytes"
"1954","CD8 T cells"
"1955","CD4 T cells"
"1956","CD8 T cells"
"1957","CD4 T cells"
"1958","CD4 T cells"
"1959","CD8 T cells"
"1960","B cells"
"1961","CD14+ Monocytes"
"1962","CD8 T cells"
"1963","CD4 T cells"
"1964","CD14+ Monocytes"
"1965","FCGR3A+ Monocytes"
"1966","CD4 T cells"
"1967","NK cells"
"1968","B cells"
"1969","CD14+ Monocytes"
"1970","CD4 T cells"
"1971","B cells"
"1972","B cells"
"1973","CD4 T cells"
"1974","CD8 T cells"
"1975","FCGR3A+ Monocytes"
"1976","CD8 T cells"
"1977","CD4 T cells"
"1978","CD8 T cells"
"1979","CD8 T cells"
"1980","CD8 T cells"
"1981","CD8 T cells"
"1982","CD8 T cells"
"1983","NK cells"
"1984","CD4 T cells"
"1985","CD8 T cells"
"1986","CD8 T cells"
"1987","CD4 T cells"
"1988","CD8 T cells"
"1989","CD14+ Monocytes"
"1990","NK cells"
"1991","CD4 T cells"
"1992","CD4 T cells"
"1993","CD4 T cells"
"1994","FCGR3A+ Monocytes"
"1995","CD4 T cells"
"1996","CD8 T cells"
"1997","CD8 T cells"
"1998","CD14+ Monocytes"
"1999","CD14+ Monocytes"
"2000","CD8 T cells"
"2001","CD8 T cells"
"2002","FCGR3A+ Monocytes"
"2003","FCGR3A+ Monocytes"
"2004","CD8 T cells"
"2005","CD8 T cells"
"2006","CD8 T cells"
"2007","CD8 T cells"
"2008","CD4 T cells"
"2009","CD14+ Monocytes"
"2010","CD8 T cells"
"2011","CD14+ Monocytes"
"2012","CD8 T cells"
"2013","NK cells"
"2014","B cells"
"2015","CD8 T cells"
"2016","CD14+ Monocytes"
"2017","CD14+ Monocytes"
"2018","NK cells"
"2019","CD4 T cells"
"2020","FCGR3A+ Monocytes"
"2021","CD8 T cells"
"2022","CD8 T cells"
"2023","B cells"
"2024","CD4 T cells"
"2025","CD8 T cells"
"2026","CD8 T cells"
"2027","CD14+ Monocytes"
"2028","B cells"
"2029","CD14+ Monocytes"
"2030","CD8 T cells"
"2031","CD14+ Monocytes"
"2032","CD4 T cells"
"2033","CD14+ Monocytes"
"2034","CD4 T cells"
"2035","CD14+ Monocytes"
"2036","CD14+ Monocytes"
"2037","CD8 T cells"
"2038","CD8 T cells"
"2039","CD8 T cells"
"2040","CD14+ Monocytes"
"2041","CD4 T cells"
"2042","CD4 T cells"
"2043","FCGR3A+ Monocytes"
"2044","CD4 T cells"
"2045","CD14+ Monocytes"
"2046","NK cells"
"2047","CD4 T cells"
"2048","B cells"
"2049","FCGR3A+ Monocytes"
"2050","NK cells"
"2051","CD14+ Monocytes"
"2052","CD4 T cells"
"2053","CD4 T cells"
"2054","CD4 T cells"
"2055","CD4 T cells"
"2056","CD4 T cells"
"2057","CD8 T cells"
"2058","CD14+ Monocytes"
"2059","CD14+ Monocytes"
"2060","CD4 T cells"
"2061","B cells"
"2062","NK cells"
"2063","B cells"
"2064","CD8 T cells"
"2065","CD8 T cells"
"2066","CD14+ Monocytes"
"2067","CD14+ Monocytes"
"2068","NK cells"
"2069","CD8 T cells"
"2070","NK cells"
"2071","CD8 T cells"
"2072","CD8 T cells"
"2073","CD14+ Monocytes"
"2074","NK cells"
"2075","CD4 T cells"
"2076","CD4 T cells"
"2077","CD4 T cells"
"2078","CD14+ Monocytes"
"2079","CD8 T cells"
"2080","CD8 T cells"
"2081","CD14+ Monocytes"
"2082","FCGR3A+ Monocytes"
"2083","CD8 T cells"
"2084","FCGR3A+ Monocytes"
"2085","CD14+ Monocytes"
"2086","CD4 T cells"
"2087","NK cells"
"2088","CD8 T cells"
"2089","NK cells"
"2090","CD4 T cells"
"2091","FCGR3A+ Monocytes"
"2092","CD14+ Monocytes"
"2093","CD8 T cells"
"2094","CD14+ Monocytes"
"2095","CD8 T cells"
"2096","CD14+ Monocytes"
"2097","CD14+ Monocytes"
"2098","CD4 T cells"
"2099","CD14+ Monocytes"
"2100","CD4 T cells"
"2101","CD14+ Monocytes"
"2102","CD8 T cells"
"2103","CD8 T cells"
"2104","FCGR3A+ Monocytes"
"2105","FCGR3A+ Monocytes"
"2106","CD4 T cells"
"2107","CD8 T cells"
"2108","CD8 T cells"
"2109","CD14+ Monocytes"
"2110","CD14+ Monocytes"
"2111","CD4 T cells"
"2112","CD8 T cells"
"2113","CD14+ Monocytes"
"2114","CD14+ Monocytes"
"2115","CD8 T cells"
"2116","FCGR3A+ Monocytes"
"2117","CD14+ Monocytes"
"2118","CD8 T cells"
"2119","CD8 T cells"
"2120","NK cells"
"2121","FCGR3A+ Monocytes"
"2122","B cells"
"2123","CD4 T cells"
"2124","CD4 T cells"
"2125","CD14+ Monocytes"
"2126","CD8 T cells"
"2127","CD4 T cells"
"2128","CD8 T cells"
"2129","CD8 T cells"
"2130","CD4 T cells"
"2131","CD4 T cells"
"2132","CD4 T cells"
"2133","B cells"
"2134","CD14+ Monocytes"
